"ID";"STATION_NAME";"EAST_ED50";"NORTH_ED50";"ELEVATION";"CHE_BASIN_ID";"CHE_BASIN_NAME"
"P9008X";"CABA_AS VIRTUS";430755.9;4763101.71;858;4;"EBRO"
"P9001";"REINOSA";407235.94;4761652.3;855;4;"EBRO"
"P9012";"ARIJA";422553.49;4760474.64;850;4;"EBRO"
"P9015";"BARCENA DE EBRO";415115.36;4745044.05;740;4;"EBRO"
"P9019";"POLIENTES";423070.09;4739829.28;716;4;"EBRO"
"P9027";"SARGENTES DE LORA";428594.66;4735882.73;1025;16;"RUDRON"
"P9034";"CERNEGULA";448757.76;4721019.98;990;17;"HOMINO"
"P9037";"ONA IBERDUERO";466184.21;4731061.7;598;17;"HOMINO"
"P9041";"VILLARCAYO";453311.97;4754458;595;1;"NELA"
"P9044";"MINON";459162.26;4754914.26;595;1;"NELA"
"P9048";"CASTROBARTO";467937.31;4765541.18;693;1;"NELA"
"P9056";"CRIALES DE LOSA";473042.49;4751822.6;645;3;"JEREA"
"P9060";"HERRAN DE TOBALINA";481221.38;4741338.15;697;10;"PURON"
"P9063O";"OSMA DE ALAVA IBERD";494737.71;4748779.53;575;8;"OMECILLO"
"P9063U";"BARRON IBERD";500522.07;4743780.32;674;8;"OMECILLO"
"P9064A";"SALINAS DE ANANA 'MONASTERIO'";501340.27;4738443.95;620;8;"OMECILLO"
"P9064";"SALINAS DE A_ANA";500976.74;4738906.59;566;8;"OMECILLO"
"P9064I";"ESPEJO";496002.65;4739709.69;500;8;"OMECILLO"
"P9065I";"PUENTELARRA IBERD";496135.25;4733139.31;473;4;"EBRO"
"P9069A";"MIRANDA DE EBRO AZUCARERA";505779.39;4727156.48;475;7;"BAYAS"
"P9069";"MIRANDA DE EBRO";503641.6;4725180.88;520;4;"EBRO"
"P9072";"MURGUIA IBERDUERO";513957.42;4756102.52;618;7;"BAYAS"
"P9072D";"DOMAIQUIA IBERD";515709.45;4752898.16;652;7;"BAYAS"
"P9072H";"ANDA IBERD";508524.71;4751867.52;606;7;"BAYAS"
"P9072I";"SENDADIANO";507394.59;4748627.25;604;7;"BAYAS"
"P9072J";"ARCHUA IBERD";502041.52;4748407.65;710;7;"BAYAS"
"P9073I";"OPACUA";552382.11;4741881.86;674;2;"ZADORRA"
"P9074C";"ARRIOLA";549566.42;4751331.58;638;2;"ZADORRA"
"P9074";"SALVATIERRA IBERDUERO";550248.86;4744827.43;605;2;"ZADORRA"
"P9076";"ULLIVARRI GAMBOA PRESA";531848.61;4753170;570;2;"ZADORRA"
